scenario_name,regions_in_scenario,num_regions,strategy,trace_index,task_type,trace_mode,region,strategy_file,task_duration,checkpoint_size,restart_overhead,deadline_ratio,deadline_hours,env_start_hours,use_full_trace,enforce_window_bound,data_paths,window_index,cost,migrations
V100 Cross-Area (3 regions),"['us-east-1c_v100_1', 'us-east-2b_v100_1', 'us-west-2a_v100_1']",3,rc_cr_threshold,0,single_region,,us-west-2a_v100_1,,39.93888888888889,50.0,0.2,1.5,59.90833333333333,299.5416666666667,True,True,['data/converted_multi_region_aligned'],1,76.09582500000064,0
V100 Cross-Area (3 regions),"['us-east-1c_v100_1', 'us-east-2b_v100_1', 'us-west-2a_v100_1']",3,unified_cost_model_rate_ratio,0,multi_region,,,,39.93888888888889,50.0,0.2,1.5,59.90833333333333,419.35833333333335,True,True,['data/converted_multi_region_aligned'],2,37.046791666666515,0
V100 Cross-Area (3 regions),"['us-east-1c_v100_1', 'us-east-2b_v100_1', 'us-west-2a_v100_1']",3,unified_cost_model_oracle,0,multi_region,,,,39.93888888888889,50.0,0.2,1.5,59.90833333333333,419.35833333333335,True,True,['data/converted_multi_region_aligned'],2,36.99539999999985,0
V100 Cross-Area (3 regions),"['us-east-1c_v100_1', 'us-east-2b_v100_1', 'us-west-2a_v100_1']",3,multi_region_oracle_dp,0,multi_region,,,,39.93888888888889,50.0,0.2,1.5,59.90833333333333,419.35833333333335,True,True,['data/converted_multi_region_aligned'],2,36.99539999999985,0
V100 Cross-Area (3 regions),"['us-east-1c_v100_1', 'us-east-2b_v100_1', 'us-west-2a_v100_1']",3,multi_region_rc_cr_threshold_eager_failover,0,multi_region,,,,39.93888888888889,50.0,0.2,1.5,59.90833333333333,419.35833333333335,True,True,['data/converted_multi_region_aligned'],2,37.99539999999985,1
V100 Cross-Area (3 regions),"['us-east-1c_v100_1', 'us-east-2b_v100_1', 'us-west-2a_v100_1']",3,multi_region_availability_probe_simple,0,multi_region,,,,39.93888888888889,50.0,0.2,1.5,59.90833333333333,419.35833333333335,True,True,['data/converted_multi_region_aligned'],2,41.960859583333345,2
V100 Cross-Area (3 regions),"['us-east-1c_v100_1', 'us-east-2b_v100_1', 'us-west-2a_v100_1']",3,multi_region_probe_cost_ratio,0,multi_region,,,,39.93888888888889,50.0,0.2,1.5,59.90833333333333,419.35833333333335,True,True,['data/converted_multi_region_aligned'],2,43.80303166666662,5
V100 Cross-Area (3 regions),"['us-east-1c_v100_1', 'us-east-2b_v100_1', 'us-west-2a_v100_1']",3,rc_cr_threshold,0,single_region,,us-east-1c_v100_1,,39.93888888888889,50.0,0.2,1.5,59.90833333333333,419.35833333333335,True,True,['data/converted_multi_region_aligned'],2,90.19421125000099,0
V100 Cross-Area (3 regions),"['us-east-1c_v100_1', 'us-east-2b_v100_1', 'us-west-2a_v100_1']",3,rc_cr_threshold,0,single_region,,us-east-2b_v100_1,,39.93888888888889,50.0,0.2,1.5,59.90833333333333,419.35833333333335,True,True,['data/converted_multi_region_aligned'],2,49.72500000000013,0
V100 Cross-Area (3 regions),"['us-east-1c_v100_1', 'us-east-2b_v100_1', 'us-west-2a_v100_1']",3,rc_cr_threshold,0,single_region,,us-west-2a_v100_1,,39.93888888888889,50.0,0.2,1.5,59.90833333333333,419.35833333333335,True,True,['data/converted_multi_region_aligned'],2,38.1390749999999,0
