scenario_name,regions_in_scenario,num_regions,strategy,trace_index,task_type,trace_mode,region,strategy_file,task_duration,checkpoint_size,restart_overhead,deadline_ratio,deadline_hours,env_start_hours,use_full_trace,enforce_window_bound,data_paths,window_index,cost,migrations
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,rc_cr_threshold,0,single_region,,us-west1-b_h100_16,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,0.0,True,True,['data/converted_multi_region_aligned_h100_16_merged'],0,3437.993616413327,0
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,unified_cost_model_risk,0,multi_region,,,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,51.833333333333336,True,True,['data/converted_multi_region_aligned_h100_16_merged'],1,686.9829184000027,6
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,multi_region_oracle_dp,0,multi_region,,,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,51.833333333333336,True,True,['data/converted_multi_region_aligned_h100_16_merged'],1,648.6002133333357,0
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,unified_cost_model_oracle,0,multi_region,,,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,51.833333333333336,True,True,['data/converted_multi_region_aligned_h100_16_merged'],1,668.1891413333357,5
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,multi_region_rc_cr_threshold_eager_failover,0,multi_region,,,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,51.833333333333336,True,True,['data/converted_multi_region_aligned_h100_16_merged'],1,746.697834666669,5
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,multi_region_availability_probe_simple,0,multi_region,,,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,51.833333333333336,True,True,['data/converted_multi_region_aligned_h100_16_merged'],1,864.1557461333348,15
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,multi_region_probe_cost_ratio,0,multi_region,,,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,51.833333333333336,True,True,['data/converted_multi_region_aligned_h100_16_merged'],1,786.0311349333366,10
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,rc_cr_threshold,0,single_region,,us-central1-a_h100_16,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,51.833333333333336,True,True,['data/converted_multi_region_aligned_h100_16_merged'],1,854.0553600000037,0
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,rc_cr_threshold,0,single_region,,us-central1-b_h100_16,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,51.833333333333336,True,True,['data/converted_multi_region_aligned_h100_16_merged'],1,1167.381221826675,0
US Only (8),"['us-central1-a_h100_16', 'us-central1-b_h100_16', 'us-central1-c_h100_16', 'us-east4-a_h100_16', 'us-east4-b_h100_16', 'us-east5-a_h100_16', 'us-west1-a_h100_16', 'us-west1-b_h100_16']",8,rc_cr_threshold,0,single_region,,us-central1-c_h100_16,,43.19444444444445,50.0,0.2,1.2,51.833333333333336,51.833333333333336,True,True,['data/converted_multi_region_aligned_h100_16_merged'],1,1138.771176846671,0
