strategy,dataset,mean,std,count,se
Optimal,H100,571.381698,8.306574,6,3.391145
SkyNomad,H100,606.376237,42.687541,6,17.427116
SkyNomad(o),H100,594.575628,34.189376,6,13.957754
UP,H100,1514.240216,998.867159,36,166.477860
UP(A),H100,883.642796,464.870864,6,189.782736
UP(AP),H100,680.087030,44.963307,6,18.356193
UP(S),H100,795.005767,484.146233,6,197.651872
